goos: linux
goarch: amd64
pkg: github.com/itelman/go-concurrency
cpu: AMD Ryzen 5 6600HS Creator Edition
BenchmarkSyncPool/SHeavy_120_Producers-12       	   27122	     47836 ns/op	  128707 B/op	     242 allocs/op
BenchmarkSyncPool/SHeavy_120_Producers-12       	   26515	     44801 ns/op	  128706 B/op	     242 allocs/op
BenchmarkSyncPool/SHeavy_120_Producers-12       	   26938	     48359 ns/op	  128705 B/op	     242 allocs/op
BenchmarkSyncPool/SHeavy_120_Producers-12       	   27069	     48182 ns/op	  128707 B/op	     242 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   49488	     24345 ns/op	  123336 B/op	     124 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   49312	     24163 ns/op	  123331 B/op	     124 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   48956	     24450 ns/op	  123331 B/op	     124 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   49891	     25527 ns/op	  123336 B/op	     124 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   48847	     24445 ns/op	  123332 B/op	     124 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   48476	     24377 ns/op	  123337 B/op	     124 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   44538	     28145 ns/op	  123337 B/op	     124 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   48610	     31492 ns/op	  123338 B/op	     124 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   47740	     24213 ns/op	  123329 B/op	     124 allocs/op
BenchmarkMutexPool/VLight_2_Producers-12        	   49945	     24577 ns/op	  123328 B/op	     124 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   45417	     26118 ns/op	  123451 B/op	     126 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   44863	     25862 ns/op	  123451 B/op	     126 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   44414	     38818 ns/op	  123453 B/op	     126 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   42340	     27349 ns/op	  123451 B/op	     126 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   39260	     26421 ns/op	  123455 B/op	     126 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   46682	     28265 ns/op	  123446 B/op	     126 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   45627	     25557 ns/op	  123452 B/op	     126 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   47010	     25678 ns/op	  123449 B/op	     126 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   47067	     26821 ns/op	  123458 B/op	     126 allocs/op
BenchmarkMutexPool/Light_4_Producers-12         	   44499	     29716 ns/op	  123452 B/op	     126 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   31872	     41446 ns/op	  123896 B/op	     134 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   31762	     41953 ns/op	  123893 B/op	     134 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   36068	     36978 ns/op	  123893 B/op	     134 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   38258	     35239 ns/op	  123897 B/op	     134 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   35535	     33010 ns/op	  123898 B/op	     134 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   37034	     32130 ns/op	  123906 B/op	     134 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   36751	     32196 ns/op	  123904 B/op	     134 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   34729	     34921 ns/op	  123901 B/op	     134 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   36787	     29931 ns/op	  123905 B/op	     134 allocs/op
BenchmarkMutexPool/Medium_12_Producers-12       	   40898	     31095 ns/op	  123905 B/op	     134 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   30478	     34030 ns/op	  124854 B/op	     152 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   35472	     34248 ns/op	  124847 B/op	     152 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   35648	     33983 ns/op	  124853 B/op	     152 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   30558	     34680 ns/op	  124854 B/op	     152 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   35361	     41033 ns/op	  124828 B/op	     152 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   33376	     34765 ns/op	  124851 B/op	     152 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   29284	     41272 ns/op	  124837 B/op	     152 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   35746	     33598 ns/op	  124852 B/op	     152 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   36889	     32643 ns/op	  124855 B/op	     152 allocs/op
BenchmarkMutexPool/Heavy_30_Producers-12        	   36837	     34032 ns/op	  124852 B/op	     152 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   29761	     39764 ns/op	  126322 B/op	     182 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   30595	     38911 ns/op	  126326 B/op	     182 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   31106	     38723 ns/op	  126353 B/op	     182 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   27540	     39231 ns/op	  126332 B/op	     182 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   24546	     41726 ns/op	  126341 B/op	     182 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   29899	     41052 ns/op	  126347 B/op	     182 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   31023	     39572 ns/op	  126331 B/op	     182 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   30080	     47790 ns/op	  126339 B/op	     182 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   30486	     39145 ns/op	  126342 B/op	     182 allocs/op
BenchmarkMutexPool/VHeavy_60_Producers-12       	   31491	     37949 ns/op	  126325 B/op	     182 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   24231	     50124 ns/op	  129299 B/op	     242 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   24268	     48955 ns/op	  129298 B/op	     242 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   23980	     52114 ns/op	  129293 B/op	     242 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   24332	     54219 ns/op	  129301 B/op	     242 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   23744	     51448 ns/op	  129275 B/op	     242 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   24662	     54385 ns/op	  129297 B/op	     242 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   20870	     49862 ns/op	  129305 B/op	     242 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   24594	     51554 ns/op	  129325 B/op	     242 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   19986	     55082 ns/op	  129308 B/op	     242 allocs/op
BenchmarkMutexPool/SHeavy_120_Producers-12      	   24596	     49435 ns/op	  129302 B/op	     242 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   55011	     21537 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   54540	     24036 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   49670	     21855 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   49276	     22923 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   56932	     20615 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   57783	     20423 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   55462	     20406 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   57885	     20952 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   43624	     23955 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/VLight_2_Producers-12         	   50359	     20208 ns/op	  123040 B/op	     124 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   60458	     19882 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   60426	     20462 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   57757	     20122 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   60009	     19897 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   60162	     20297 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   61354	     19883 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   55106	     20352 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   60589	     19828 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   58604	     20418 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Light_4_Producers-12          	   58868	     21511 ns/op	  123136 B/op	     126 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   58113	     20422 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   56882	     21513 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   58339	     24300 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   46990	     22220 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   47547	     22433 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   50724	     23719 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   54753	     21907 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   58032	     20610 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   55749	     20579 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Medium_12_Producers-12        	   58263	     22328 ns/op	  123520 B/op	     134 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   51019	     22433 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   51393	     22370 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   53877	     22775 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   53902	     21967 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   52806	     23069 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   51823	     22320 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   51944	     22180 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   52606	     28316 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   52374	     25253 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/Heavy_30_Producers-12         	   45567	     25223 ns/op	  124384 B/op	     152 allocs/op
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   39699	     32648 ns/op	  125824 B/op	     182 allocs/op
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   45372	     26868 ns/op	  125824 B/op	     182 allocs/op
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   45693	     27896 ns/op	  125824 B/op	     182 allocs/op
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   41841	     30445 ns/op	  125824 B/op	     182 allocs/op
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   42372	     26445 ns/op	  125824 B/op	     182 allocs/op
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   45283	     27383 ns/op	  125824 B/op	     182 allocs/op
BenchmarkMPSCPool/VHeavy_60_Producers-12        	   45448	     28567 ns/op	  125824 B/op	     182 allocs/op
